text,language
Sledgehammer to crack a nut - A,English
Butterfingers,English
Cut off your nose to spite your face,English
Flogging a dead horse,English
Bone idle,English
On the warpath,English
My better half,English
Kiss me Hardy,English
Let bygones be bygones,English
"Wiens broodt men eet, die’ns woord met spreekt.",Afrikaans
‘n Skimp kan seerder maak as ‘n skop.,Afrikaans
Word in your shell-like - A,English
"Pasop! Wat jy met jou hande opbou, moet jy nie met jou agterent omstamp nie.",Afrikaans
Cast the first stone,English
Straight from the horse's mouth,English
You can lead a whore to culture but you can't make her think,English
Main chance,English
San fairy Ann,English
Shot heard 'round the world - The,English
Friday afternoon car,English
Rest on his laurels,English
Dié naweek drink ons tot die bodem!,Afrikaans
Dis asof die lank-rek van die laaste noot die kraai laat lekkerkry.,Afrikaans
Ek sê nooit vir my werksmense – loop en gaan doen ‘n werk nie. Ek sê: “Kom ons gaan doen ‘n werk. Bring julle toerusting.”,Afrikaans
Ons kyk tot die droogte kom en dan kyk ons almal hemel toe.,Afrikaans
Daar is geen opregter liefde as die liefde vir kos nie.,Afrikaans
"Om te wees wat ons is en te word waartoe ons in staat is, is die enigste doelwit in die lewe.",Afrikaans
Diamond is forever - A,English
The elephant in the room,English
Thing of beauty is a joy forever - A,English
Nod - The land of,English
It's not rocket science,English
Het hart zonk hem in zijn schoenen.,Nederlands
At loggerheads,English
Back-seat driver,English
A bird in the hand is worth two in the bush,English
Whipper snapper,English
Ek is in die dolliwarie.,Afrikaans
Cor blimey,English
"Ons is wat ons herhaaldelik doen. Perfeksie is derhalwe nie ‘n daad nie, maar ‘n gewoonte",Afrikaans
Parting shot / Parthian shot,English
Winter drawers on,English
Yellow-belly,English
All agog,English
Barking mad,English
A sorry sight,English
Keep your chin up,English
"Hoe dieper ik poog te delven, hoe meer ik bederf ontmoet.",Afrikaans
Ball and chain,English
Buggins' turn,English
All present and correct,English
A riddle wrapped up in an enigma,English
Take potluck,English
Freeze the balls off a brass monkey - cold enough to,English
Put your back up,English
As good as gold,English
Walk the walk,English
Hy het kaplaks van die stoel af geval.,Afrikaans
All you can eat,English
First World,English
The camera cannot lie,English
Whet your appetite,English
Read between the lines,English
ŉ Man saai nie koring in ŉ varkhok nie.,Afrikaans
Time and tide wait for no man,English
Fast and loose,English
Balance of trade - The,English
"Kind, onthou net één ding: Jy kon nie jou ouers en voor-ouers kies nie.",Afrikaans
Fancy pants,English
Uneasy lies the head that wears a crown,English
In the cart,English
White elephant,English
Swart Grietjie soen.,Afrikaans
Hy lyk soos Sondagkos.,Afrikaans
Sacred cow,English
Dis nie alle goud wat blink nie.,Afrikaans
Hy hou van op die lawaaiwa klim.,Afrikaans
Pig in a poke,English
Knuckle under,English
Behind every great man there's a great woman,English
Back to basics,English
Fell swoop - At one,English
Weasel words,English
Hulle krap op plekke waar hulle nie jeuk nie en ander jeuk weer op plekke waar hulle nie kan krap nie!,Afrikaans
Like the clappers,English
Jy kan nooit wen as jy ‘n saak met die Duiwel het en sy kantoor is in die Hel nie.,Afrikaans
Pearls before swine,English
If the shoe fits,English
In die donker is alle katte grou.,Afrikaans
Rule of thumb,English
Die pad is snuif tussen Soebatsfontein en Koingnaas.,Afrikaans
Swing the lead,English
The salt of the earth,English
Riding shotgun,English
Cotton-picking,English
Jan Taks die belasting man eis sy pond vleis.,Afrikaans
Tout de suite,English
Met geweld kan mens jou duim in jou hol afbreek.,Afrikaans
Paint the town red,English
Just in time,English
Shaggy dog story,English
Mother country,English
Up the wooden hill to Bedfordshire,English
Watching brief,English
Mutt and Jeff,English
Open season,English
De pot verwijt de ketel dat hij zwart ziet.,Nederlands
Van surfing,English
Camera cannot lie - The,English
Female of the species is more deadly then the male - The,English
Fathom out,English
Alive and kicking,English
The course of true love never did run smooth,English
Gad zooks (or gadzooks),English
No rest for the wicked,English
Good man is hard to find - A,English
Hy moet nie met sy rondloperhondmaniere hier kom kuier nie.,Afrikaans
Dit het gister net so ‘n slangsleepseltjie gereent in die Kaap.,Afrikaans
"Early to bed and early to rise makes a man healthy, wealthy and wise",English
"Wie heuning wil eet, moet steke verdra.",Afrikaans
Tickled pink,English
Man after my own heart - A,English
Good men and true,English
Pot calling the kettle black - The,English
Nod is as good as a wink - A,English
A chain is only as strong as its weakest link,English
Dit kos ‘n plaas se geld.,Afrikaans
Get the upper hand,English
Get down to brass tacks,English
Wat laat oom Japie weer die grootsê so hoog uit die takke haal?,Afrikaans
Greased lightning,English
Daar is te veel dak op die huis.,Afrikaans
Tits up,English
Vanish into thin air,English
Say goodnight Gracie,English
"Wie het laatst lacht, lacht het best.",Nederlands
Vele handen maken licht werk.,Nederlands
“Sy skop nie baie watts uit nie”  – ingestuur deur Hanlie,Afrikaans
Hy dink hy is die goewerneur se hond se oom.,Afrikaans
If the cap fits,English
Tattoo phrases and sayings,English
Countenance more in sorrow than in anger - A,English
Get used to it,English
Wild goose chase,English
Fly by the seat of one's pants,English
Cold enough to freeze the balls off a brass monkey,English
Merry Christmas,English
Laurels - rest on one's,English
Politici loop almal met twee aangesigte,Afrikaans
Speak of the Devil,English
Total shambles,English
Die droëpram is al mooi groot.,Afrikaans
Great unwashed - the,English
Pasop vir die man wat te veel praat. Sy korrels is vol kaf en pasop vir die een wat niks sê nie. Hy het ‘n verskuilde agenda.,Afrikaans
Sagte dokters maak stinkende wonde.,Afrikaans
Blood and thunder,English
Ducks and drakes,English
Crop up,English
"As jy geluk wil vind en soek, sal jy dit kry, soos die ou dame haar bril – al die tyd veilig op haar neus…",Afrikaans
The best laid schemes of mice and men,English
Abide with me,English
The triumph of hope over experience,English
Sorg dat jy nooit jou geld belê in enigiets wat eet of wat geverf moet word nie.,Afrikaans
Plugged nickel,English
Grinning like a Cheshire cat,English
Àugur well,English
"Horse, a horse, my kingdom for a horse - A",English
Carpe diem,English
Laugh like a drain,English
Touch with a barge-pole - Wouldn't,English
Karakter is soos ‘n boom en reputasie sy skaduwee. Die skaduwee is wat ons daarvan dink; die boom is die werklikheid.,Afrikaans
Beck and call,English
Rat arsed,English
Pick 'n' mix,English
On cloud nine,English
Fingers and thumbs,English
As dikmelk kaas geword het.,Afrikaans
Die wonder van ‘n nuwe oggend is dat dit ons die geleentheid gee om VOOR TE BEGIN!,Afrikaans
Donkey's years,English
Go out on a limb,English
Beggars can't be choosers,English
Against the grain,English
"Hoe groter gees, hoe groter bees.",Afrikaans
Indian giver,English
"Ontwyk die uitvraer, want hy is ook ‘n verklapper.",Afrikaans
Spitting feathers,English
‘n Blaadjie uit iemand se boek neem.,Afrikaans
Season of mists and mellow fruitfulness,English
Broad in the beam,English
“Sy praat mos so onder haar asem. ”,Afrikaans
Fine words butter no parsnips,English
Acronyms,English
Extraordinary rendition,English
Take the bit between your teeth,English
Done a runner,English
Johnny on the spot,English
The great unwashed,English
Aide-mémoire,English
When the shit hits the fan,English
A foot in the door,English
Dreams of empire,English
Daar is geen regte manier om ‘n verkeerde ding te doen nie.,Afrikaans
Frog's hair- as fine as,English
Pop goes the weasel,English
Burn the candle at both ends,English
Nuuskierige agies hoort in die wolwehok!,Afrikaans
Gooi weg die blink horlosies – werk van son-op tot son-onder EN die plaas is JOU Baas – nie jy nie.,Afrikaans
A fool's paradise,English
Age before beauty,English
Big fish in a small pond - A,English
Body surfing,English
Go pound sand,English
Dit is te dik vir ‘n Daalder.,Afrikaans
Plates of meat,English
Name and shame,English
Writing is on the wall - The,English
The early bird catches the worm,English
Een mens verneuk nie ‘n ander nie. Elke mens verneuk homself.,Afrikaans
Hear hear,English
Don't go there,English
Scarper,English
Hy is ganspen.,Afrikaans
Never look a gift horse in the mouth,English
As die hingste vul .,Afrikaans
Mea culpa,English
Fish or cut bait,English
Hy is pad op.,Afrikaans
So besig soos 'n miernes wees.,Afrikaans
As armoede by die voordeur inkom gaan liefde by die agterdeur uit.,Afrikaans
“Sy praat so baie sy sal die agterbeen van ‘n donkie afpraat.”,Afrikaans
By hook or by crook,English
"‘n Mens moet onthou WIE die tafel gedek het, WIE die kos voorberei het.",Afrikaans
Drop in the bucket - A,English
Twelve good men and true,English
Caught by the short hairs,English
"Die lewe het my leer dink, maar die dink het my nie leer leef nie.",Afrikaans
I told you is was ill,English
Cold comfort,English
Up the duff,English
Bodice ripper,English
Hy is meer verward as ‘n bergie onder huisarres.,Afrikaans
"Be afraid, be very afraid",English
Let a thousand flowers bloom,English
Back of beyond - The,English
A shot in the arm,English
Tot by oom Daantjie in die kalwerhok.,Afrikaans
Turn the tables,English
Not a dicky-bird,English
"Dis nie welvaart en swier wat geluk bring nie, maar kalmte en werk.",Afrikaans
Sick puppy (A),English
As daft as a brush,English
Zwijgen is goud.,Nederlands
Keep your hands clean,English
Hy laat lê nie kos nie.,Afrikaans
A little of what you fancy does you good,English
It's not rocket science,English
Hy gaan met aasdieromslagtigheid te werk.,Afrikaans
"Vroeg uit die bed, maak die beursie vet!",Afrikaans
Ek kon my weldade dikker gesaai het en hulle sou mekaar nie verdring het nie.,Afrikaans
Yada yada,English
Run of the mill,English
Dog's dinner,English
Swan song,English
Curry favour,English
"Ons is gebore om die waarheid na te streef – om dit te besit, is die voorreg van ‘n Hoër Mag.",Afrikaans
The game is up,English
Which is which?,English
Hy raak toe sommer doringbos vir haar.,Afrikaans
No names: no pack-drill,English
Ladies' room,English
"Stuur die luiaard na die mier en as hy nie te lui is om te gaan nie, sal hy te lui wees om terug te kom.",Afrikaans
On the fiddle,English
Hy’t sommer so sjierts by ons verbygejaag.,Afrikaans
Date rape,English
Raspberry tart,English
Straight as a die,English
Lead balloon - Go over like a,English
(The) sky's the limit,English
Know your onions,English
Let there be light,English
In a pig's eye,English
“Hy trek ‘n Mbeki.”,Afrikaans
"Waar jy nie die daad kan weglieg nie, kan jy altyd ‘n ekskuus bylieg.",Afrikaans
Less is more,English
Penny saved is a penny earned - A,English
One-hit wonder,English
The blind leading the blind,English
A feather in one's cap,English
Hy het hier aangewaai gekom.,Afrikaans
The bee's knees,English
April fool,English
Die berg het ‘n muis gebaar.,Afrikaans
"Julle kan dink en praat soos julle voel en oortuig is. Ek sal dit respekteer MAAR, moenie die houding van AAG-G WAT-T, aankweek nie.",Afrikaans
Barge-pole - Wouldn't touch with a,English
As fast as greased lightning,English
Stuff and nonsense,English
Never-never land,English
Hy is gesout teen masels.,Afrikaans
Three score and ten,English
With bells on,English
Below the salt,English
Piping hot,English
Beg the question,English
Fate worse than death - A,English
"Daar is lewe in die grond. Dit gaan in die saad in en wanneer dit versteur word, gaan dit ook in die man wat dit versteur.",Afrikaans
"Stark, raving mad",English
Tie the knot,English
I will wear my heart upon my sleeve,English
Bad egg,English
Ek is nou die baas en jy is Klaas met ou Hansie die kneg.,Afrikaans
Bang on about,English
Keep your nose to the grindstone,English
"Jy moet maar self groei, ongeag hoe groot jou oupa was.",Afrikaans
Wear the trousers,English
Stinking rich,English
Sy het ‘n regte naweeklyfie.,Afrikaans
So bang soos ‘n Bolander vir donderweer.,Afrikaans
Tissue of lies,English
Beyond our ken,English
(It) fell off the back of a truck,English
Jack Palancing,English
Bling-bling,English
‘n Mens kan met ‘n bokwa en ‘n lang span osse daarin draai.,Afrikaans
Champ at the bit,English
Muren hebben oren.,Nederlands
Nooit gedink my blindederm sal lank genoeg wees nie.,Afrikaans
‘n Aap op jou rug hê.,Afrikaans
Darby and Joan,English
Top drawer,English
Bring home the bacon,English
"Jors het die naweek weer netjies gevat, nou’s hy weer tieprag op die Maandag.",Afrikaans
Cliff-hanger,English
Die ding lyk maar tonteldoek.,Afrikaans
Let your hair down,English
Valentine's Day Poems and Sayings,English
As dead as a doornail,English
“Die beste vakansie is die een waar die vrouens byt en die muskiete nie.”,Afrikaans
Shot in the arm,English
Frog in the throat - A,English
Chop and change,English
Help jou buurman om sy las te dra en jy sal jou verwonder hoveel ligter jou eie word.,Afrikaans
So arm soos ‘n kerkmuis.,Afrikaans
De puntjes op de i zetten.,Nederlands
Van ’n donkie kan jy ’n skop verwag.,Afrikaans
(By the) skin of your teeth,English
"Ek probeer my skandelike verlede troos met goeie voornemens vir die toekoms, maar hy skud net sy kop.",Afrikaans
Elephant in the room,English
Stone the crows,English
"Die manier om ‘n goeie reputasie te kry, is om eerlik te streef na die beeld wat jy wil wees.",Afrikaans
Green eyed monster,English
Never give a sucker an even break,English
Lose your marbles,English
Heebie-jeebies - The,English
All in all,English
As snug as a bug in a rug,English
A picture is worth a thousand words,English
Moot point,English
Blonde bombshell,English
Booby trap,English
Get your goat,English
Mal Jan onder die afkop-hoenders.,Afrikaans
Press into service,English
"The ants are my friends, they're blowing in the wind",English
More bang for your buck,English
Hy staan op die dak.  – ingestuur deur June Edwards,Afrikaans
Hy is nie onder 'n kalkoen uitgebroei nie.,Afrikaans
Nest-egg,English
Anchors aweigh,English
Left in the lurch,English
Two heads are better than one,English
Pull in your horns,English
Box-seat - in the,English
Pull yourself up by your bootstraps,English
Jors se gat stamp.,Afrikaans
Let or hindrance,English
Langnek-Kaatjie soen.,Afrikaans
Foregone conclusion,English
Zig-zag,English
Pork pies,English
On a hiding to nothing,English
Strait and narrow,English
Fly on the wall,English
"Die mens wat dink geld het veel waarde, bly nog ‘n tydverkwister. So, koop al die skatte van die aarde – nie een minuut van gister.",Afrikaans
Rob Peter to pay Paul,English
Dog in the manger,English
Technicolor yawn,English
Sour grapes,English
Meet your Waterloo,English
Field day,English
Behind the eight ball,English
Allemansvriend is niemandsvriend.  http://goo.gl/SddnQ,Afrikaans
Acid test,English
Morning person,English
Grand slam,English
Not tonight Josephine,English
It's better to give than to receive,English
Eye candy - see ear candy,English
Living off the fat of the land,English
Sealed with a loving kiss,English
Someone is walking over my grave,English
Mumbo jumbo,English
Rack and ruin,English
Hairy eyeball,English
How now brown cow?,English
Twee vliegen in één klap slaan.,Nederlands
Die laaitie se hakskene word rooi.,Afrikaans
In the club,English
As easy as pie,English
"Nasty, brutish and short",English
Tide over,English
A bunch of fives,English
Daar is slegte bloed tussen hulle.,Afrikaans
Black sheep of the family,English
Apple of my eye - The,English
Red-handed (caught),English
Don't have a clue,English
High time,English
(A) watched pot never boils,English
Many are called but few are chosen,English
Good riddance,English
Floozie in the jacuzzi - The,English
"Been there, done that",English
On the ball,English
Over the top,English
Die mannetjie kwyl agter rok-goed aan.,Afrikaans
Complete shambles,English
Toe the line,English
Cockney rhyming slang,English
Nul points,English
"Hoe beter man jy is, hoe jammerder is dit van die fout wat jy het. Dis op die wit papier wat die swart klad duidelik wys.",Afrikaans
Almanakke druk.,Afrikaans
As mad as a hatter,English
Once in a blue moon,English
Wee-wee,English
Indian summer,English
Iets is beter dan niets.,Nederlands
Kop bo water hou.,Afrikaans
Go Dolally,English
Die swaarste ding om te dra is ‘n wrok.,Afrikaans
As good luck would have it,English
Not worth the candle,English
Silver bullet,English
Nosy parker,English
Pie - as easy as,English
Man who is his own lawyer has a fool for a client - A,English
Mens moet nie werk om te lewe nie – hy moet lewe om te werk.,Afrikaans
Fools' gold,English
Have an inkling,English
Betaal ‘n donkie se prys en moenie ‘n perd se dienste te wagte wees nie.,Afrikaans
Baker's dozen,English
Top dog,English
Seen better days,English
Big cheese - The,English
More honoured in the breach than in the observance,English
In the nick of time,English
Train surfing,English
Piggyback,English
Foul play,English
‘n Vergenoegde mens kan die natuurskoon langs ‘n pad geniet.,Afrikaans
Stick in the mud,English
Poetic justice,English
Peeping Tom,English
Preaching to the choir,English
Have no truck with,English
In the box-seat,English
Ring the changes,English
Cut the mustard,English
Man does not live by bread alone,English
Security blanket,English
Peter out,English
Say cheese,English
Gedane zaken nemen geen keer.,Nederlands
Clod-hopper,English
Know the ropes,English
Jan Alleman in die straat is die segsman vir die ouens wat met hulle mond vol tande staan.,Afrikaans
Jack - phrases that include the name Jack,English
Bats in the belfry,English
Touch wood,English
"As die pappot oorkook, maak dit ‘n gemors – ook van homself.",Afrikaans
My old Dutch,English
Moving the goalposts,English
Channel surfing,English
Words ending in gry,English
About turn,English
"Bid vir ‘n goeie oes, maar hou aan werk.",Afrikaans
Elvis has left the building,English
Die-hard,English
"If music be the food of love, play on",English
Turn a blind eye,English
Ek kan enigiets weerstaan behalwe versoeking.,Afrikaans
Upside down,English
Thin air - Vanish into,English
"Wanneer die moeilikheid so groot soos ‘n berg is, klim die wyse bo-oor. Die dwaas graaf ‘n tonnel onderdeur en bly binne vassteek. Die lafaard draai om.",Afrikaans
Tea leaf,English
Dit is die klein botteltjies wat die groot gif het.,Afrikaans
Giddy goat,English
Funny farm,English
Draw your horns in,English
"As jy daaroor kan lag, kan jy daarmee saamleef.",Afrikaans
Touchy-feely,English
End of story,English
Jou roes uitslaap.,Afrikaans
Three strikes and you are out,English
"If you think that, you have another think coming",English
"Rag, tag and bobtail",English
Act the giddy goat,English
Geld wat geel is maak reg wat skeel is.,Afrikaans
Put the mockers on,English
"(H)asta la vista, baby",English
As happy as Larry,English
High and mighty,English
Geleentheid maak die dief.,Afrikaans
"Die beste manier om ‘n goeie indruk op iemand te maak, is om hom die geleentheid te gee om ‘n goeie indruk op jou te maak.",Afrikaans
Little knowledge is a dangerous thing - A,English
Body - phrases related to the human body,English
Petty cash,English
So bang soos ‘n haas vir ‘n hond.,Afrikaans
An apple a day keeps the doctor away,English
Guts for garters,English
‘n Pot vol goud.,Afrikaans
Bought the farm,English
More fool you,English
Keep your nose clean,English
Born with a silver spoon in one's mouth,English
Under the thumb,English
Cheap at half the price,English
Wet behind the ears,English
Half inch,English
Soos ’n hand vol vlieë.,Afrikaans
Hunt and peck,English
Nest of vipers - A,English
Road rage,English
Pull out all the stops,English
Red herring,English
Daai manne by die spele ry toe-speek!,Afrikaans
(Ne'er) cast a clout till May be out,English
Shit end of the stick - The,English
A sight for sore eyes,English
As busy as a bee,English
The apple of my eye,English
